"id","page_type","priority","search_intent","slug","target_url","title","source_file"
"lense-alternative","alternatives","P0","commercial investigation","lense-alternativa","/hu/alternativak/lense-alternativa","Lense alternatíva esküvőre: OurFilm","content/alternatives/lense-alternativa.mdx"
"once-alternative","alternatives","P0","commercial investigation","once-alternativa","/hu/alternativak/once-alternativa","Once alternatíva esküvőre: OurFilm","content/alternatives/once-alternativa.mdx"
"pov-alternative","alternatives","P0","commercial investigation","pov-alternativa","/hu/alternativak/pov-alternativa","POV alternatíva esküvőre: OurFilm","content/alternatives/pov-alternativa.mdx"
"disposable-camera-app","blog","P0","commercial investigation","disposable-camera-app-eskuvore","/hu/blog/disposable-camera-app-eskuvore","A legjobb disposable camera appok esküvőre 2026-ban","content/blog/disposable-camera-app-eskuvore.mdx"
"digital-disposable-camera-wedding","pages","P0","transactional","digitalis-eldobhato-fenykepezogep-eskuvore","/hu/digitalis-eldobhato-fenykepezogep-eskuvore","Digitális eldobható fényképezőgép esküvőre","content/pages/digitalis-eldobhato-fenykepezogep-eskuvore.mdx"
"wedding-photo-app-for-guests","pages","P0","transactional","eskuvoi-foto-app-vendegeknek","/hu/eskuvoi-foto-app-vendegeknek","Esküvői fotó app vendégeknek – letöltés nélkül","content/pages/eskuvoi-foto-app-vendegeknek.mdx"
"wedding-photo-sharing-no-app","pages","P0","transactional","eskuvoi-fotomegosztas-alkalmazas-nelkul","/hu/eskuvoi-fotomegosztas-alkalmazas-nelkul","Digitális eldobható kamera alkalmazás nélkül","content/pages/eskuvoi-fotomegosztas-alkalmazas-nelkul.mdx"
"wedding-photo-sharing-app","pages","P0","transactional","eskuvoi-fotomegoszto-alkalmazas","/hu/eskuvoi-fotomegoszto-alkalmazas","Esküvői fotómegosztó alkalmazás – közös digitális film","content/pages/eskuvoi-fotomegoszto-alkalmazas.mdx"
"wedding-photo-qr-code","pages","P0","transactional","qr-kod-eskuvoi-fotokhoz","/hu/qr-kod-eskuvoi-fotokhoz","QR-kód esküvői fotókhoz és közös vendégkamerához","content/pages/qr-kod-eskuvoi-fotokhoz.mdx"
"ourfilm-vs-lense","vs","P0","commercial investigation","ourfilm-vs-lense","/hu/osszehasonlitas/ourfilm-vs-lense","OurFilm vs Lense: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-lense.mdx"
"ourfilm-vs-once","vs","P0","commercial investigation","ourfilm-vs-once","/hu/osszehasonlitas/ourfilm-vs-once","OurFilm vs Once: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-once.mdx"
"ourfilm-vs-pov","vs","P0","commercial investigation","ourfilm-vs-pov","/hu/osszehasonlitas/ourfilm-vs-pov","OurFilm vs POV: melyik digitális vendégkamera jobb?","content/vs/ourfilm-vs-pov.mdx"
"guestcam-alternative","alternatives","P1","commercial investigation","guestcam-alternativa","/hu/alternativak/guestcam-alternativa","GuestCam alternatíva esküvőre: OurFilm","content/alternatives/guestcam-alternativa.mdx"
"guestpix-alternative","alternatives","P1","commercial investigation","guestpix-alternativa","/hu/alternativak/guestpix-alternativa","GuestPix alternatíva esküvőre: OurFilm","content/alternatives/guestpix-alternativa.mdx"
"kululu-alternative","alternatives","P1","commercial investigation","kululu-alternativa","/hu/alternativak/kululu-alternativa","Kululu alternatíva esküvőre: OurFilm","content/alternatives/kululu-alternativa.mdx"
"wedibox-alternative","alternatives","P1","commercial investigation","wedibox-alternativa","/hu/alternativak/wedibox-alternativa","Wedibox alternatíva esküvőre: OurFilm","content/alternatives/wedibox-alternativa.mdx"
